# Keyword:macOS:OpenBSD
acldigest:M:
atime:M:
btime:M:
cksum:M:O
contents::O
ctime:M:
device::O
flags:M:O
gid:M:O
gname:M:O
ignore:M:O
inode:M:O
link:M:O
md5digest:M:O
mode:M:O
nlink:M:O
nochange:M:O
optional::O
ptime:M:
resdevice::O
ripemd160digest:M:O
sha1digest:M:O
sha256digest:M:O
sha384digest::O
sha512digest::O
size:M:O
time:M:O
type:M:O
uid:M:O
uname:M:O
xattrsdigest:M:
